Age,Pclass,Fare,Survived
5.939577363684814,3,51.3938,0
,3,391.5619,1
25.69524396775571,3,495.7963,0
6.694662543895196,1,267.9434,1
1.9959940780849643,3,342.9759,1
41.9882065129597,2,122.4705,0
77.11644003011948,1,221.6109,1
30.567392864733506,3,428.7672,0
30.317922135980098,1,87.8744,0
40.28263196549845,3,136.4401,0
46.58154738099687,3,225.4897,1
17.261455592904692,1,357.5632,1
29.079707651760877,3,191.0626,1
61.75000579926033,3,464.2275,1
5.564664318712964,3,51.7562,0
75.18640987657304,1,188.5481,0
19.17069814572854,2,355.9323,1
50.958914621942604,3,116.8634,1
17.261455592904692,2,329.9245,0
,2,86.2874,1
48.344643673504706,3,32.7102,0
50.9132686343168,1,64.9028,1
8.855870027988267,3,465.3425,1
48.17526917323385,1,278.1167,1
71.82939801905181,3,399.1912,0
67.52063025573727,3,169.664,0
77.62042730990348,2,298.366,1
21.960764866881892,1,250.0013,1
9.971049783770692,3,473.1403,1
73.28512148205465,3,375.0494,1
44.66031915436311,3,366.6186,1
,2,27.9449,1
67.99532507851724,2,277.0865,1
15.672912688409665,3,236.1608,1
44.10372635595886,3,464.2819,0
51.09722892536321,3,132.3843,0
37.67484305939877,3,138.5676,0
29.294854724594398,3,208.6164,0
33.84623317834243,3,125.468,1
14.257353056036262,1,68.946,0
22.31583689012893,3,429.4203,0
,3,281.3469,1
20.382579664824355,1,431.3745,0
66.79359976627342,3,416.4117,0
35.06747571353307,3,144.611,0
2.5571324825947683,3,276.13,0
42.994200062251764,3,46.1928,0
30.491435986100484,3,458.0497,1
5.932074854944647,1,205.11,1
77.39578674523555,3,199.8697,1
,3,154.8639,0
45.21158617334921,3,233.0286,0
,2,129.6209,0
62.894095243892146,1,190.5519,1
68.84652492228422,3,400.9738,0
23.31532168323029,3,417.9565,0
68.59999141316561,3,155.5703,0
35.12365647272715,3,237.1621,0
26.444254081071083,3,437.5408,1
47.41928381764275,3,31.0733,1
,3,445.1268,0
20.57074817059144,2,113.4963,1
